t,E_true,E_mod,mass
1.365,8.398748106,4.946775396,-0.008422930662
1.37,8.397117162,4.943545056,-0.008422930662
1.375,8.395492459,4.940328479,-0.008422930662
1.38,8.393873885,4.93712543,-0.008422930662
1.385,8.392261328,4.933935678,-0.008422930662
1.39,8.390654683,4.930758994,-0.008422930662
1.395,8.389053842,4.927595153,-0.008422930662
1.4,8.387458703,4.924443935,-0.008422930662
1.405,8.385869165,4.921305124,-0.008422930662
1.41,8.38428513,4.918178506,-0.008422930662
1.415,8.382706501,4.915063873,-0.008422930662
1.42,8.381133186,4.911961022,-0.008422930662
1.425,8.379565093,4.908869752,-0.008422930662
1.43,8.378002136,4.905789868,-0.008422930662
1.435,8.376444229,4.902721181,-0.008422930662
1.44,8.37489129,4.899663504,-0.008422930662
1.445,8.373343239,4.896616658,-0.008422930662
1.45,8.371800001,4.893580466,-0.008422930662
1.455,8.370261502,4.890554759,-0.008422930662
1.46,8.368727671,4.887539371,-0.008422930662
1.465,8.367198443,4.884534142,-0.008422930662
1.47,8.365673752,4.881538919,-0.008422930662
1.475,8.364153539,4.878553553,-0.008422930662
1.48,8.362637745,4.875577902,-0.008422930662
1.485,8.361126316,4.872611828,-0.008422930662
1.49,8.359619202,4.8696552,-0.008422930662
1.495,8.358116355,4.866707893,-0.008422930662
1.5,8.356617731,4.863769788,-0.008422930662
1.505,8.355123288,4.860840772,-0.008422930662
1.51,8.35363299,4.857920738,-0.008422930662
1.515,8.352146801,4.855009587,-0.008422930662
1.52,8.350664692,4.852107222,-0.008422930662
1.525,8.349186634,4.849213558,-0.008422930662
1.53,8.347712603,4.846328511,-0.008422930662
1.535,8.34624258,4.843452007,-0.008422930662
1.54,8.344776546,4.840583977,-0.008422930662
1.545,8.343314487,4.837724359,-0.008422930662
1.55,8.341856392,4.834873097,-0.008422930662
1.555,8.340402254,4.832030141,-0.008422930662
1.56,8.338952068,4.829195448,-0.008422930662
1.565,8.337505833,4.82636898,-0.008422930662
1.57,8.336063551,4.823550708,-0.008422930662
1.575,8.334625225,4.820740607,-0.008422930662
1.58,8.333190864,4.817938658,-0.008422930662
1.585,8.331760479,4.81514485,-0.008422930662
